[1209/162224.763:INFO:CONSOLE(585)] "Uncaught TypeError: Cannot read property 'value' of undefined", source: file:///C:/Users/summerki/Desktop/2018-12-9/code/DCPC_Project/DirectConnectionPredictControl/bin/Debug/Charts/test.html (585)
[1228/170834.124:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170838.368:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170839.129:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170843.380:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170844.133:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170848.387:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170849.137:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170853.401:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170854.154:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170858.413:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170859.158:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170903.419:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170904.165:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170908.423:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170909.170:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170913.429:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170914.175:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170917.981:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170917.997:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170918.434:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170919.179:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170922.996:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170923.003:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170923.460:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170924.194:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170928.034:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170928.482:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170929.207:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170933.044:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170933.497:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170934.216:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170938.049:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170938.502:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170939.221:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170943.059:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170943.506:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170944.227:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170948.065:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170948.523:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170949.237:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170953.082:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170953.528:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170954.247:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170958.097:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170958.542:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170959.260:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171003.110:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171003.562:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171004.274:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171008.114:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171008.568:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171009.279:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171013.122:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171013.573:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171014.283:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171018.130:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171018.576:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171019.290:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171023.135:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171023.582:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171024.298:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171028.141:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171028.588:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171029.305:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171033.150:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171033.592:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171034.309:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171038.162:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171038.615:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171039.326:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171043.174:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171043.623:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171044.349:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171048.180:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171048.627:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171049.353:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171053.191:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171053.632:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171054.359:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171058.195:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171058.636:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171059.364:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171103.203:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171103.640:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171104.370:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171108.207:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171108.644:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171109.377:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171113.212:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171113.650:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171114.382:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171118.220:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171118.654:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171119.387:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171123.224:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171123.659:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171124.393:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171128.228:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171128.664:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171129.400:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171133.234:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171133.670:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
